# 
Scope_Frequency	|Z|	arg(Z)	R	C	Q	L	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Gen_Frequency	Delay	a	
3162.2776601683795	51302.573696416424	-167.54421637507667	-50095.052062928095	-4.5484013372693224e-09	0.2208851506866189	0.5569054714461881	1.0036311461031637	0.03148260986314873	-155.04247366245053	0.018143922762553694	0.05131876329090669	0.0	3162.2776601683795	0.5	3162.2776601683795	10-06-24 12:17:51.178835
3548.1338923357553	51589.23336106304	-165.9213204524355	-50039.6269346012	-3.574381466702221e-09	0.2507870857758356	0.5629105181731419	1.0014922569252658	0.012951917571836521	-151.82119759625616	0.018309242710360614	0.05178635871554542	0.0	3548.1338923357553	0.5	3548.1338923357553	10-06-24 12:18:03.638149
3981.0717055349724	51941.17924728012	-164.05699190194215	-49943.28234662333	-2.8020741115140407e-09	0.2856692091865071	0.5703752151653171	0.9979043065804716	-0.018222062361501083	-148.1482824287459	0.018295982853403323	0.05174885417645716	0.0	3981.0717055349724	0.5	3981.0717055349724	10-06-24 12:18:16.038251
4466.835921509632	52378.54263794225	-161.91924435920419	-49792.09162776183	-2.1918203684174006e-09	0.3264786628168598	0.5792090044109127	0.9925068853365502	-0.06532943430354476	-143.97859800424285	0.016191779030508044	0.045797267007785525	0.0	4466.835921509632	0.5	4466.835921509632	10-06-24 12:18:28.755520
5011.872336272722	52852.27957067074	-159.40134542421063	-49473.3169282172	-1.7077971874982943e-09	0.3758484894331369	0.5904783371272339	0.9816622333565747	-0.16075833841213916	-139.19707902891076	0.01772558470542241	0.05013552458280295	0.0	5011.872336272722	0.5	5011.872336272722	10-06-24 12:18:41.581339
5623.413251903491	53513.764522765916	-156.4685443710165	-49063.61451552789	-1.3246678843083847e-09	0.43546533093104345	0.604690653652534	0.9688228941751519	-0.2751121393220415	-133.7127053073995	0.01807042173674644	0.05111087099581679	0.0	5623.413251903491	0.5	5623.413251903491	10-06-24 12:18:53.926753
6309.573444801933	54325.06683041014	-153.03752003470802	-48420.129155034985	-1.024074872596602e-09	0.5087008671917652	0.6213102997302347	0.9504149724971318	-0.44173461178487305	-127.51125966223705	0.01785492816693172	0.050501363137744455	0.0	6309.573444801933	0.5	6309.573444801933	10-06-24 12:19:07.155910
7079.457843841378	55282.08650870665	-148.91735586241174	-47344.87867903941	-7.876903271510338e-10	0.6028254947746707	0.6416301319859763	0.923019051661567	-0.695786695709309	-120.45829714153112	0.01785015369019215	0.05048785887822778	0.0	7079.457843841378	0.5	7079.457843841378	10-06-24 12:19:19.571495
7943.282347242815	56370.48519188089	-143.9528830026285	-45577.41766140266	-6.04030037874185e-10	0.727799713432363	0.664632734044146	0.8844512458595064	-1.0665220394324684	-112.59006300341682	0.017827774542139314	0.05042456108884642	0.0	7943.282347242815	0.5	7943.282347242815	10-06-24 12:19:32.319324
8912.509381337453	57526.87758909135	-137.90372433954542	-42686.06025509795	-4.630515313168517e-10	0.9034512722317609	0.6886696415712754	0.832750088944133	-1.5897062450156487	-103.96833544357231	0.017495186746150165	0.04948386074531117	0.0	8912.509381337453	0.5	8912.509381337453	10-06-24 12:19:46.225167
