# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	Delay	a	
12.999	0.066	250	250	628282.5	631080.2	631357.9	629933.6	629607.4	630332.5	629755.1	630141.6	0.996850408	6	3.0	13-12-23 17:13:55.690298
13.498	0.068	250	250	942067.8	945480.3	946041.4	944449.3	944297.2	944821.7	944179.7	944467.6	1.4956903	6	3.0	13-12-23 17:14:03.173907
13.999	0.071	250	250	1256608.0	1260646.0	1261493.0	1259734.0	1259763.0	1260080.0	1259372.0	1259569.0	1.99570942	6	3.0	13-12-23 17:14:10.446322
14.499	0.074	250	250	1570720.0	1575382.0	1576499.0	1574586.0	1574806.0	1574914.0	1574138.0	1574247.0	2.49506993	6	3.0	13-12-23 17:14:17.723748
14.998	0.076	250	250	1884634.0	1889920.0	1891322.0	1889235.0	1889639.0	1889536.0	1888707.0	1888720.0	2.99404151	6	3.0	13-12-23 17:14:24.986493
15.499	0.079	250	250	2199631.0	2205554.0	2207239.0	2204969.0	2205558.0	2205254.0	2204355.0	2204279.0	3.49476776	6	3.0	13-12-23 17:14:32.148064
15.998	0.081	250	250	2513338.0	2519880.0	2521848.0	2519424.0	2520175.0	2519677.0	2518712.0	2518542.0	3.99346275	6	3.0	13-12-23 17:14:39.313008
16.499	0.084	250	250	2828158.0	2835320.0	2837564.0	2834975.0	2835898.0	2835178.0	2834152.0	2833896.0	4.49389791	6	3.0	13-12-23 17:14:46.586374
16.998	0.086	250	250	3141944.0	3149745.0	3152265.0	3149510.0	3150624.0	3149701.0	3148612.0	3148266.0	4.99268379	6	3.0	13-12-23 17:14:53.863110
17.499	0.089	250	250	3456463.0	3464869.0	3467677.0	3464761.0	3466030.0	3464928.0	3463775.0	3463315.0	5.49260968	6	3.0	13-12-23 17:15:01.135371
17.999	0.092	250	250	3770641.0	3779676.0	3782754.0	3779690.0	3781140.0	3779828.0	3778575.0	3778069.0	5.99214144	6	3.0	13-12-23 17:15:08.296781
18.498	0.094	250	250	4084863.0	4094512.0	4097859.0	4094632.0	4096273.0	4094771.0	4093460.0	4092851.0	6.49154121	6	3.0	13-12-23 17:15:15.561908
18.999	0.097	250	250	4399325.0	4409598.0	4413226.0	4409824.0	4411660.0	4409942.0	4408568.0	4407854.0	6.99141057	6	3.0	13-12-23 17:15:22.833820
19.498	0.099	250	250	4713057.0	4723962.0	4727896.0	4724328.0	4726349.0	4724408.0	4722963.0	4722174.0	7.49014013	6	3.0	13-12-23 17:15:30.009078
19.998	0.102	250	250	5027406.0	5038935.0	5043146.0	5039411.0	5041578.0	5039462.0	5037962.0	5037062.0	7.9898186	6	3.0	13-12-23 17:15:37.271496
20.498	0.105	250	250	5341337.0	5353456.0	5357925.0	5354054.0	5356406.0	5354073.0	5352513.0	5351544.0	8.48882627	6	3.0	13-12-23 17:15:44.558809
20.998	0.107	250	250	5655649.0	5668423.0	5673154.0	5669100.0	5671631.0	5669088.0	5667459.0	5666372.0	8.98848828	6	3.0	13-12-23 17:15:51.935358
21.499	0.11	250	250	5969429.0	5982862.0	5987875.0	5983635.0	5986371.0	5983634.0	5981945.0	5980770.0	9.48729362	6	3.0	13-12-23 17:15:59.130703
21.998	0.112	250	250	6283311.0	6297338.0	6302642.0	6298268.0	6301178.0	6298199.0	6296478.0	6295203.0	9.98620907	6	3.0	13-12-23 17:16:06.352219
22.498	0.115	250	250	6596691.0	6611314.0	6616959.0	6612370.0	6615430.0	6612276.0	6610458.0	6609135.0	10.4842847	6	3.0	13-12-23 17:16:13.623197
22.998	0.118	250	250	6864829.0	7485531.0	6886183.0	7487217.0	7485578.0	6886198.0	7479664.0	7478169.0	10.9949796	6	3.0	13-12-23 17:16:20.821721
23.498	0.12	250	250	6864300.0	7486675.0	6885980.0	7488314.0	7486804.0	6885610.0	7480933.0	7479440.0	11.4805085	6	3.0	13-12-23 17:16:28.164495
23.999	0.123	250	250	6856160.0	7486865.0	6877958.0	7488493.0	7486898.0	6877611.0	7481031.0	7479535.0	11.9616146	6	3.0	13-12-23 17:16:35.460296
