# 
Scope_Frequency	base_freq	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
5000000.0	5000000.0	25485.0	5000000.0	0.09543304617914725	-7.395724312773667	0.26992541641025586	0.08672399143008495	-7.3999999999999915	0.00018197008586099872	0.00018197008586099872	-7.3999999999999915	0.09538608018495119	-22.30309116912261	0.07670884462764921	0.5	5000000.0	03-06-24 14:53:14.323704
5000000.0	5000000.0	25487.5	5000000.0	0.09488542232186499	-7.445710144967891	0.26837650223816056	0.08879536280942425	-7.3999999999999915	0.00018197008586099872	0.00018197008586099872	-7.3999999999999915	0.09538608018495119	-22.392290718489257	0.07592511599308069	0.5	5000000.0	03-06-24 14:53:23.931725
5000000.0	5000000.0	25490.0	5000000.0	0.09465074341085822	-7.467219455923708	0.26771273004066315	0.08265292913952645	-7.3999999999999915	0.00018197008586099872	0.00018197008586099872	-7.3999999999999915	0.09538608018495119	-22.378322844487826	0.07604731022603327	0.5	5000000.0	03-06-24 14:53:33.470822
5000000.0	5000000.0	25492.5	5000000.0	0.09381184502887845	-7.544546494136794	0.26533996710216584	0.08676066719937003	-7.3999999999999915	0.00018197008586099872	0.00018197008586099872	-7.3999999999999915	0.09538608018495119	-22.36195086843502	0.07619078647541283	0.5	5000000.0	03-06-24 14:53:43.009755
5000000.0	5000000.0	25495.0	5000000.0	0.09254337319494567	-7.662793534668282	0.26175218696009384	0.08920067411628577	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-22.034997253760224	0.07911341603684152	0.5	5000000.0	03-06-24 14:53:52.479634
5000000.0	5000000.0	25497.5	5000000.0	0.09190864849131804	-7.722572445598019	0.25995691439160695	0.08529670607422847	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-21.97822458680347	0.07963221036122523	0.5	5000000.0	03-06-24 14:54:02.018819
5000000.0	5000000.0	25500.0	5000000.0	0.0919218775026463	-7.7213223188087365	0.2599943316860814	0.08782426260934065	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-21.98193874135805	0.07959816628259475	0.5	5000000.0	03-06-24 14:54:12.732503
5000000.0	5000000.0	25502.5	5000000.0	0.0916478898436588	-7.747250644259649	0.25921937755955543	0.08468545992450631	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-22.004484333214478	0.07939182464221753	0.5	5000000.0	03-06-24 14:54:22.409639
5000000.0	5000000.0	25505.0	5000000.0	0.09097730134773858	-7.811039038495343	0.2573226668681519	0.09243919764331836	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-22.017871477213266	0.07926955608833688	0.5	5000000.0	03-06-24 14:54:31.948699
5000000.0	5000000.0	25507.5	5000000.0	0.09089186700239066	-7.81919955691976	0.2570810220483849	0.08465383112958526	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-22.016026551839328	0.07928639511742071	0.5	5000000.0	03-06-24 14:54:41.487738
