# 
ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
0.001145654	2726.8	2385.1	1434.15	0.0002488524	1783.85	1449.15	2114.3	0.1	08-12-23 16:34:45.838082
0.001091687	2725.9	2383.05	1437.2	0.0006282075	1797.2	1450.8	2114.55	0.1	08-12-23 16:34:46.038701
0.001094862	2718.15	2376.35	1441.45	-0.0001495499	1733.15	1323.0	1934.2	0.1	08-12-23 16:34:46.240404
0.001048832	2688.0	2363.3	1418.85	0.0002901211	1659.55	1340.1	2054.65	0.1	08-12-23 16:34:46.442364
0.0009266125	2716.1	2434.3	1532.95	-0.598626	3196.3	3234.25	3934.9	0.1	08-12-23 16:34:46.643528
0.0009377233	2755.05	2416.45	1458.15	-0.009228677	2168.8	1747.55	2266.95	0.1	08-12-23 16:34:46.844436
0.0008885181	2708.75	2385.6	1428.45	0.0004710688	1619.7	1100.8	1532.0	0.1	08-12-23 16:34:47.045423
0.001082164	2773.55	2448.25	1478.3	0.0008901054	-39993.15	1869.2	2583.25	0.1	08-12-23 16:34:47.245208
0.001010737	2708.0	2389.25	1428.5	-0.1629072	1140.85	855.9	1671.2	0.1	08-12-23 16:34:47.445407
0.001031372	2696.45	2376.4	1412.2	0.0004377363	1659.4	1337.2	2029.6	0.1	08-12-23 16:34:47.647061
0.0009504213	2696.85	2358.85	1421.1	0.0007059833	1728.5	1421.8	2171.3	0.1	08-12-23 16:34:47.846953
0.00110756	2721.7	2402.25	1450.1	-9.240853e-05	1845.9	3771.05	2117.5	0.1	08-12-23 16:34:48.048343
0.001002801	2711.05	2371.65	1425.3	0.0004790051	1765.15	1473.1	2088.1	0.1	08-12-23 16:34:48.247721
0.0008869309	2685.8	2353.05	1420.45	0.0005647172	1233.95	680.15	1458.0	0.1	08-12-23 16:34:48.448337
0.000942485	2718.45	2400.95	1449.4	0.0006647145	1897.45	1583.05	2219.0	0.1	08-12-23 16:34:48.648764
0.001023435	2712.65	2385.85	1432.15	0.0004298	1743.05	1401.1	2072.3	0.1	08-12-23 16:34:48.848964
0.001040895	2712.55	2380.05	1431.3	0.0004885286	1754.2	1422.45	2092.4	0.1	08-12-23 16:34:49.049209
0.001066291	2730.2	2406.05	1446.45	0.0006028114	1758.05	1414.5	2082.05	0.1	08-12-23 16:34:49.248773
0.00100915	2713.25	2390.2	1431.85	0.0004567835	1741.85	1404.05	2075.5	0.1	08-12-23 16:34:49.448181
0.001007563	2689.45	2359.85	1397.8	0.0004504344	1737.5	1398.8	2071.65	0.1	08-12-23 16:34:49.647207
0.001007563	2690.4	2359.65	1410.75	0.000502814	1745.55	1413.35	2071.9	0.1	08-12-23 16:34:49.848718
0.001015499	2697.85	2366.25	1411.45	0.0004821796	1751.15	1413.6	2080.3	0.1	08-12-23 16:34:50.048510
0.00106153	2711.85	2380.2	1431.4	0.0004901159	1751.3	1408.75	2089.55	0.1	08-12-23 16:34:50.247714
0.001037721	2720.45	2383.05	1439.65	0.0004615452	1752.2	1424.55	2093.4	0.1	08-12-23 16:34:50.448379
0.001058355	2718.7	2391.6	1436.0	0.0004790051	1752.7	1411.6	2097.0	0.1	08-12-23 16:34:50.647966
0.0009964518	2719.9	2389.9	1438.0	0.0005170993	1753.25	1415.45	2091.8	0.1	08-12-23 16:34:50.847718
0.001042482	2718.45	2390.1	1439.0	0.0004710688	1761.9	1414.6	2087.6	0.1	08-12-23 16:34:51.048179
0.001053593	2715.8	2385.55	1429.5	0.0004917032	1755.25	1411.7	2091.35	0.1	08-12-23 16:34:51.248102
0.001001214	2720.35	2386.5	1439.15	0.0005059885	1754.15	1414.45	2090.5	0.1	08-12-23 16:34:51.447531
0.001036133	2719.75	2394.55	1431.1	0.0004758306	1760.15	1415.15	2094.5	0.1	08-12-23 16:34:51.646020
0.001025022	2718.2	2389.1	1440.95	0.0004901159	1757.65	1420.8	2088.6	0.1	08-12-23 16:34:51.846101
0.001036133	2715.6	2385.9	1438.1	0.0004742433	1759.4	1416.1	2086.05	0.1	08-12-23 16:34:52.044196
0.00106153	2732.1	2385.8	1437.85	0.0004044038	1745.1	1410.8	2089.8	0.1	08-12-23 16:34:52.244595
0.001074228	2721.55	2392.0	1446.9	0.000417102	1752.9	1410.35	2080.3	0.1	08-12-23 16:34:52.445006
0.001028197	2724.65	2392.6	1442.15	0.0004917032	1751.9	1420.2	2080.55	0.1	08-12-23 16:34:52.645604
0.001032959	2725.8	2390.8	1444.25	0.0005012267	1757.85	1411.9	2088.5	0.1	08-12-23 16:34:52.846618
0.001052006	2721.65	2390.75	1440.05	0.0005424955	1766.95	1428.9	2102.5	0.1	08-12-23 16:34:53.047765
0.001021848	2720.4	2396.55	1440.15	0.0005536063	1762.85	1421.35	2105.05	0.1	08-12-23 16:34:53.248162
0.001023435	2714.35	2388.1	1435.9	0.0005504318	1764.05	1429.25	2102.75	0.1	08-12-23 16:34:53.448002
0.001045657	2720.0	2384.45	1444.55	0.0005774152	1767.2	1425.85	2105.2	0.1	08-12-23 16:34:53.647599
0.001023435	2720.65	2385.4	1441.75	0.0005393209	1777.6	1431.5	2106.75	0.1	08-12-23 16:34:53.848181
