# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	Delay	a	
9.999	0.05	250	250	-1256736.0	-1257666.0	-1259044.0	-1259510.0	-1260925.0	-1258943.0	-1259120.0	-1258210.0	-1.99987269	6	0.0	13-12-23 16:54:49.208596
10.499	0.053	250	250	-942553.3	-942864.3	-943959.6	-944586.5	-945818.6	-944047.6	-944288.7	-943470.1	-1.50043125	6	0.0	13-12-23 16:54:56.482002
10.999	0.055	250	250	-628242.2	-627930.6	-628750.2	-629546.5	-630600.8	-629035.7	-629345.1	-628605.8	-1.00073804	6	0.0	13-12-23 16:55:03.640436
11.499	0.058	250	250	-314318.9	-313386.7	-313923.7	-314885.9	-315759.0	-314400.2	-314774.6	-314126.8	-0.501689209	6	0.0	13-12-23 16:55:10.819321
11.999	0.06	250	250	-71.904	1483.312	1218.336	102.164	-591.976	566.492	113.948	677.32	-0.00205779367	6	0.0	13-12-23 16:55:17.987536
12.498	0.063	250	250	313513.8	315674.6	315689.9	314415.7	313909.4	314853.3	314345.8	314815.2	0.496413432	6	0.0	13-12-23 16:55:25.157213
12.999	0.065	250	250	627845.5	630633.6	630928.8	629491.0	629162.7	629895.3	629324.3	629698.7	0.996187993	6	0.0	13-12-23 16:55:32.327518
13.498	0.068	250	250	941518.2	944927.4	945505.1	943904.2	943751.2	944272.3	943639.9	943925.5	1.49485247	6	0.0	13-12-23 16:55:39.500983
13.999	0.071	250	250	1256000.0	1260034.0	1260878.0	1259129.0	1259166.0	1259470.0	1258771.0	1258972.0	1.99483131	6	0.0	13-12-23 16:55:46.728961
14.499	0.073	250	250	1569942.0	1574593.0	1575718.0	1573806.0	1574025.0	1574123.0	1573364.0	1573474.0	2.49386388	6	0.0	13-12-23 16:55:54.047882
14.998	0.076	250	250	1883790.0	1889065.0	1890472.0	1888396.0	1888782.0	1888693.0	1887861.0	1887872.0	2.99279982	6	0.0	13-12-23 16:56:01.423122
15.499	0.078	250	250	2198759.0	2204671.0	2206345.0	2204108.0	2204672.0	2204373.0	2203478.0	2203396.0	3.49348906	6	0.0	13-12-23 16:56:08.700628
15.998	0.081	250	250	2512446.0	2518970.0	2520939.0	2518526.0	2519279.0	2518764.0	2517816.0	2517635.0	3.99220966	6	0.0	13-12-23 16:56:16.377162
16.499	0.083	250	250	2827346.0	2834492.0	2836739.0	2834166.0	2835081.0	2834360.0	2833342.0	2833088.0	4.492653	6	0.0	13-12-23 16:56:23.553350
16.999	0.086	250	250	3141091.0	3148856.0	3151371.0	3148650.0	3149747.0	3148824.0	3147753.0	3147398.0	4.99139488	6	0.0	13-12-23 16:56:30.897556
17.499	0.089	250	250	3455593.0	3463966.0	3466781.0	3463866.0	3465153.0	3464032.0	3462886.0	3462444.0	5.49129085	6	0.0	13-12-23 16:56:38.469274
17.999	0.091	250	250	3769780.0	3778804.0	3781887.0	3778820.0	3780288.0	3778942.0	3777727.0	3777201.0	5.99077235	6	0.0	13-12-23 16:56:45.746011
18.498	0.094	250	250	4083904.0	4093527.0	4096907.0	4093664.0	4095307.0	4093795.0	4092499.0	4091882.0	6.49010015	6	0.0	13-12-23 16:56:52.940861
18.999	0.096	250	250	4398372.0	4408619.0	4412269.0	4408874.0	4410701.0	4408972.0	4407610.0	4406907.0	6.98999845	6	0.0	13-12-23 16:57:00.287030
19.499	0.099	250	250	4712163.0	4723041.0	4726975.0	4723411.0	4725408.0	4723487.0	4722069.0	4721256.0	7.48875198	6	0.0	13-12-23 16:57:07.492439
19.999	0.102	250	250	5026373.0	5037868.0	5042072.0	5038357.0	5040542.0	5038370.0	5036898.0	5036019.0	7.98821218	6	0.0	13-12-23 16:57:14.725348
20.498	0.104	250	250	5340140.0	5352278.0	5356760.0	5352851.0	5355278.0	5352922.0	5351359.0	5350398.0	8.48709558	6	0.0	13-12-23 16:57:21.996418
20.999	0.107	250	250	5654488.0	5667233.0	5671959.0	5667935.0	5670492.0	5667939.0	5666327.0	5665265.0	8.98674329	6	0.0	13-12-23 16:57:29.465133
21.499	0.109	250	250	5968353.0	5981687.0	5986741.0	5982527.0	5985259.0	5982488.0	5980787.0	5979669.0	9.48556401	6	0.0	13-12-23 16:57:36.638763
21.999	0.112	250	250	6282258.0	6296243.0	6301584.0	6297199.0	6300108.0	6297155.0	6295348.0	6294151.0	9.98464465	6	0.0	13-12-23 16:57:43.806568
22.498	0.115	250	250	6595590.0	6610244.0	6615827.0	6611276.0	6614302.0	6611184.0	6609348.0	6608018.0	10.4826772	6	0.0	13-12-23 16:57:50.982927
22.998	0.117	250	250	6864640.0	7485638.0	6885925.0	7487330.0	7485593.0	6886309.0	7479662.0	7478182.0	10.9937505	6	0.0	13-12-23 16:57:58.142241
23.498	0.12	250	250	6864037.0	7486722.0	6885713.0	7488415.0	7486856.0	6885708.0	7480956.0	7479452.0	11.4794325	6	0.0	13-12-23 16:58:05.412935
23.999	0.123	250	250	6855982.0	7486944.0	6877708.0	7488582.0	7486990.0	6877653.0	7481062.0	7479554.0	11.9609729	6	0.0	13-12-23 16:58:12.580690
