# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
-100.0	-97.3	-100.0	-97.3	-100.043561	-0.0004910102589223233	2.0	-100.0	2.6999999999999993	18-06-24 15:43:14.338491
-100.0	-97.0	-100.0	-97.0	-100.043468	-0.0005451732940117965	2.0	-100.0	3.0	18-06-24 15:43:18.656904
-100.0	-96.7	-100.0	-96.7	-100.043753	-0.0006007319324202739	2.0	-100.0	3.3000000000000007	18-06-24 15:43:22.949455
-100.0	-96.4	-100.0	-96.4	-100.043529	-0.0006548725582325302	2.0	-100.0	3.6000000000000014	18-06-24 15:43:27.204596
-100.0	-96.1	-100.0	-96.1	-100.043853	-0.0007090547175847246	2.0	-100.0	3.8999999999999986	18-06-24 15:43:31.347320
-100.0	-95.8	-100.0	-95.8	-100.043443	-0.000764554645606318	2.0	-100.0	4.199999999999999	18-06-24 15:43:35.637402
-100.0	-95.5	-100.0	-95.5	-100.043629	-0.0008183359892032391	2.0	-100.0	4.5	18-06-24 15:43:40.661594
-100.0	-95.2	-100.0	-95.2	-100.043598	-0.0008724978286514045	2.0	-100.0	4.800000000000001	18-06-24 15:43:44.849819
-100.0	-94.9	-100.0	-94.9	-100.043308	-0.000928039288213536	2.0	-100.0	5.100000000000001	18-06-24 15:43:49.153418
-100.0	-94.6	-100.0	-94.6	-100.043686	-0.0009822417614715586	2.0	-100.0	5.400000000000002	18-06-24 15:43:53.461133
-100.0	-94.3	-100.0	-94.3	-100.043615	-0.0010363932940117965	2.0	-100.0	5.699999999999999	18-06-24 15:43:59.706958
-100.0	-94.0	-100.0	-94.0	-99.8459591	-0.0010563016215135459	2.0	-100.0	6.0	18-06-24 15:44:04.104349
-100.0	-93.7	-100.0	-93.7	-99.5468446	-0.0010566694191742477	2.0	-100.0	6.299999999999997	18-06-24 15:44:08.306901
-100.0	-93.4	-100.0	-93.4	-99.2503044	-0.0010570119724082777	2.0	-100.0	6.599999999999998	18-06-24 15:44:12.611910
-100.0	-93.1	-100.0	-93.1	-98.9421903	-0.0010573455603319004	2.0	-100.0	6.899999999999999	18-06-24 15:44:16.916359
-100.0	-92.8	-100.0	-92.8	-98.643317	-0.0010576873637908627	2.0	-100.0	7.199999999999999	18-06-24 15:44:21.108446
-100.0	-92.5	-100.0	-92.5	-98.3439092	-0.0010580560591822454	2.0	-100.0	7.5	18-06-24 15:44:25.663840
-100.0	-92.2	-100.0	-92.2	-98.0368517	-0.001058424754573628	2.0	-100.0	7.800000000000001	18-06-24 15:44:30.010900
-100.0	-91.9	-100.0	-91.9	-97.7370901	-0.0010587686494051784	2.0	-100.0	8.100000000000001	18-06-24 15:44:34.312780
