# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
2.0554761e-05	0.0	1000000.0	5.0	0.001602785	2876.05	2613.35	1492.85	0.0007678865	1930.1	1491.8	2050.9	0.1	08-12-23 17:29:16.804206
2.80293637e-05	0.0	1000000.0	5.0	0.001625007	2885.25	2614.05	1486.9	0.000783759	1937.5	1488.65	2059.3	0.1	08-12-23 17:29:17.104667
2.80293637e-05	0.0	1000000.0	5.0	0.001639292	2880.5	2621.1	1490.55	0.0007996316	1934.3	1486.55	2056.95	0.1	08-12-23 17:29:17.413455
3.55039664e-05	0.0	1000000.0	5.0	0.001637705	2884.0	2614.75	1491.3	0.0007758227	1930.35	1482.7	2052.7	0.1	08-12-23 17:29:17.719364
3.55039664e-05	0.0	1000000.0	5.0	0.001598023	2881.2	2621.1	1490.2	0.0007853463	1927.05	1491.8	2053.45	0.1	08-12-23 17:29:18.026572
2.0554761e-05	0.0	1000000.0	5.0	0.001636118	2881.05	2622.95	1496.3	0.0008012188	1938.45	1484.9	2059.1	0.1	08-12-23 17:29:18.640291
2.42920623e-05	0.0	1000000.0	5.0	0.001631356	2883.9	2615.4	1490.5	0.0008170915	1932.35	1490.15	2055.95	0.1	08-12-23 17:29:18.850532
2.80293637e-05	0.0	1000000.0	5.0	0.001593261	2879.75	2622.05	1492.2	0.000820266	1932.65	1486.85	2060.8	0.1	08-12-23 17:29:19.151659
1.30801583e-05	0.0	1000000.0	5.0	0.001653577	2884.25	2620.15	1496.35	0.0007901081	1932.55	1493.55	2056.25	0.1	08-12-23 17:29:19.461396
2.42920623e-05	0.0	1000000.0	5.0	0.001626594	2882.15	2615.35	1486.7	0.0007821718	1930.65	1488.85	2051.45	0.1	08-12-23 17:29:19.768574
2.42920623e-05	0.0	1000000.0	5.0	0.001618658	2884.65	2619.85	1498.0	0.0008012188	1927.75	1489.3	2048.1	0.1	08-12-23 17:29:20.075680
2.80293637e-05	0.0	1000000.0	5.0	0.001626594	2880.4	2619.15	1485.1	0.0008155042	1930.45	1488.4	2055.8	0.1	08-12-23 17:29:20.498198
2.42920623e-05	0.0	1000000.0	5.0	0.001591674	2881.35	2618.15	1485.9	0.000783759	1927.65	1492.45	2051.1	0.1	08-12-23 17:29:20.792281
2.0554761e-05	0.0	1000000.0	5.0	0.001621832	2884.9	2616.5	1490.15	0.0007869335	1923.85	1491.3	2056.9	0.1	08-12-23 17:29:21.098895
2.0554761e-05	0.0	1000000.0	5.0	0.00155358	2879.35	2622.85	1492.1	0.0007901081	1931.3	1486.3	2050.65	0.1	08-12-23 17:29:21.406243
2.42920623e-05	0.0	1000000.0	5.0	0.001602785	2885.55	2622.35	1488.8	0.0007885208	1935.7	1486.25	2052.4	0.1	08-12-23 17:29:21.712350
2.42920623e-05	0.0	1000000.0	5.0	0.001621832	2882.55	2621.55	1490.75	0.0008155042	1926.95	1487.15	2059.6	0.1	08-12-23 17:29:22.019775
2.42920623e-05	0.0	1000000.0	5.0	0.001598023	2884.45	2620.55	1490.6	0.000783759	1934.85	1495.45	2054.1	0.1	08-12-23 17:29:22.327558
2.42920623e-05	0.0	1000000.0	5.0	0.001582151	2878.8	2608.1	1486.9	0.0007996316	1931.65	1490.85	2051.65	0.1	08-12-23 17:29:22.634313
2.0554761e-05	0.0	1000000.0	5.0	0.0015885	2879.45	2614.45	1491.45	0.0007488393	1929.5	1481.75	2054.75	0.1	08-12-23 17:29:22.941390
1.30801583e-05	0.0	1000000.0	5.0	0.001586912	2881.15	2617.05	1490.95	0.0007583629	1940.9	1488.85	2057.35	0.1	08-12-23 17:29:23.249554
2.0554761e-05	0.0	1000000.0	5.0	0.001602785	2878.9	2620.8	1486.35	0.0007504265	1934.4	1489.95	2052.75	0.1	08-12-23 17:29:23.555371
3.55039664e-05	0.0	1000000.0	5.0	0.001591674	2880.35	2616.45	1485.3	0.0007440776	1930.2	1490.95	2056.75	0.1	08-12-23 17:29:23.764371
3.55039664e-05	0.0	1000000.0	5.0	0.001582151	2886.55	2622.7	1493.6	0.0007742354	1926.15	1482.8	2049.0	0.1	08-12-23 17:29:24.066811
2.80293637e-05	0.0	1000000.0	5.0	0.001621832	2879.65	2623.45	1491.5	0.0007758227	1930.5	1485.95	2053.9	0.1	08-12-23 17:29:24.477678
3.55039664e-05	0.0	1000000.0	5.0	0.001664688	2882.05	2619.5	1499.45	0.0007964571	1933.0	1488.35	2058.9	0.1	08-12-23 17:29:24.711248
3.55039664e-05	0.0	1000000.0	5.0	0.00165199	2888.35	2618.95	1492.2	0.0008266151	1931.6	1482.65	2048.2	0.1	08-12-23 17:29:26.117184
3.1766665e-05	0.0	1000000.0	5.0	0.001598023	2881.55	2616.1	1488.95	0.0007901081	1936.05	1485.7	2047.5	0.1	08-12-23 17:29:26.422474
2.42920623e-05	0.0	1000000.0	5.0	0.001621832	2882.0	2614.45	1492.0	0.0008075679	1930.1	1488.45	2061.05	0.1	08-12-23 17:29:28.004798
3.1766665e-05	0.0	1000000.0	5.0	0.001628181	2884.55	2616.1	1491.3	0.0007726482	1926.35	1488.55	2051.15	0.1	08-12-23 17:29:28.471100
2.80293637e-05	0.0	1000000.0	5.0	0.001617071	2880.95	2617.6	1487.7	0.0007742354	1935.75	1487.35	2058.85	0.1	08-12-23 17:29:28.792515
2.0554761e-05	0.0	1000000.0	5.0	0.001601198	2888.75	2608.85	1489.7	0.000820266	1929.85	1490.65	2059.95	0.1	08-12-23 17:29:29.803329
2.0554761e-05	0.0	1000000.0	5.0	0.001604372	2879.7	2616.1	1490.65	0.0007282049	1931.85	1483.5	2056.6	0.1	08-12-23 17:29:30.125502
2.42920623e-05	0.0	1000000.0	5.0	0.001618658	2881.95	2609.5	1486.8	0.0007758227	1931.45	1491.55	2058.6	0.1	08-12-23 17:29:30.536926
