# 
Voltage 1	Current 1	Voltmeter 1	Delay	
1.0	0.0	-0.0001910567	0.1	04-12-23 12:17:20.434104
1.0	0.0	-0.0001884377	0.1	04-12-23 12:17:20.637473
1.0	0.0	-0.0001843109	0.1	04-12-23 12:17:20.842376
1.0	0.0	-0.0001831204	0.1	04-12-23 12:17:21.048444
1.0	0.0	-0.0002012152	0.1	04-12-23 12:17:21.353946
1.0	0.0	-0.000198993	0.1	04-12-23 12:17:21.508555
1.0	0.0	-0.0001868505	0.1	04-12-23 12:17:21.667295
1.0	0.0	-0.0001911361	0.1	04-12-23 12:17:21.866578
1.0	0.0	-0.0002106594	0.1	04-12-23 12:17:22.071630
1.0	0.0	-0.0001895489	0.1	04-12-23 12:17:22.276270
1.0	0.0	-0.0001950249	0.1	04-12-23 12:17:22.481960
1.0	0.0	-0.0001982788	0.1	04-12-23 12:17:22.685649
1.0	0.0	-0.0001755016	0.1	04-12-23 12:17:22.890055
1.0	0.0	-0.0001951836	0.1	04-12-23 12:17:23.095210
1.0	0.0	-0.0001901838	0.1	04-12-23 12:17:23.300783
1.0	0.0	-0.0001922472	0.1	04-12-23 12:17:23.504171
1.0	0.0	-0.0001936757	0.1	04-12-23 12:17:23.709706
1.0	0.0	-0.0001941519	0.1	04-12-23 12:17:23.858546
1.0	0.0	-0.0001907393	0.1	04-12-23 12:17:24.118437
1.0	0.0	-0.0001885171	0.1	04-12-23 12:17:24.323542
1.0	0.0	-0.0001735176	0.1	04-12-23 12:17:24.629973
1.0	0.0	-0.0001726445	0.1	04-12-23 12:17:24.835990
1.0	0.0	-0.0001762952	0.1	04-12-23 12:17:25.041571
1.0	0.0	-0.0001689145	0.1	04-12-23 12:17:25.247640
1.0	0.0	-0.0001743112	0.1	04-12-23 12:17:25.451781
1.0	0.0	-0.0001901837	0.1	04-12-23 12:17:25.654859
1.0	0.0	-0.0001770095	0.1	04-12-23 12:17:25.794183
1.0	0.0	-0.0002014533	0.1	04-12-23 12:17:25.962752
1.0	0.0	-0.0001820094	0.1	04-12-23 12:17:26.169170
1.0	0.0	-0.0001854219	0.1	04-12-23 12:17:26.371597
1.0	0.0	-0.0001839141	0.1	04-12-23 12:17:26.577115
1.0	0.0	-0.000187406	0.1	04-12-23 12:17:26.871154
1.0	0.0	-0.0001878823	0.1	04-12-23 12:17:27.088970
1.0	0.0	-0.0001751047	0.1	04-12-23 12:17:27.390660
1.0	0.0	-0.0001774857	0.1	04-12-23 12:17:27.601008
1.0	0.0	-0.000193517	0.1	04-12-23 12:17:27.805543
1.0	0.0	-0.0001839934	0.1	04-12-23 12:17:28.012523
1.0	0.0	-0.0001718509	0.1	04-12-23 12:17:28.215469
1.0	0.0	-0.000188279	0.1	04-12-23 12:17:28.419748
1.0	0.0	-0.0001841522	0.1	04-12-23 12:17:28.637701
1.0	0.0	-0.0001785968	0.1	04-12-23 12:17:28.842082
1.0	0.0	-0.0001863743	0.1	04-12-23 12:17:29.034929
1.0	0.0	-0.0001811364	0.1	04-12-23 12:17:29.238965
1.0	0.0	-0.0001716128	0.1	04-12-23 12:17:29.443561
1.0	0.0	-0.0001800253	0.1	04-12-23 12:17:29.648982
1.0	0.0	-0.0001931996	0.1	04-12-23 12:17:29.853949
1.0	0.0	-0.0001928027	0.1	04-12-23 12:17:30.057990
1.0	0.0	-0.0001757397	0.1	04-12-23 12:17:30.364796
1.0	0.0	-0.0001790729	0.1	04-12-23 12:17:30.570331
1.0	0.0	-0.0002012946	0.1	04-12-23 12:17:30.787490
1.0	0.0	-0.0001841522	0.1	04-12-23 12:17:30.980824
1.0	0.0	-0.0001776444	0.1	04-12-23 12:17:31.185109
1.0	0.0	-0.0001704224	0.1	04-12-23 12:17:31.390385
1.0	0.0	-0.0002036755	0.1	04-12-23 12:17:31.594707
1.0	0.0	-0.0001993898	0.1	04-12-23 12:17:31.804194
1.0	0.0	-0.0002197068	0.1	04-12-23 12:17:31.946138
1.0	0.0	-0.0001753428	0.1	04-12-23 12:17:32.106470
1.0	0.0	-0.0001875648	0.1	04-12-23 12:17:32.311214
1.0	0.0	-0.0001907393	0.1	04-12-23 12:17:32.515821
1.0	0.0	-0.0001839934	0.1	04-12-23 12:17:32.721252
1.0	0.0	-0.0001823268	0.1	04-12-23 12:17:32.925663
1.0	0.0	-0.0001872473	0.1	04-12-23 12:17:33.130940
1.0	0.0	-0.000183676	0.1	04-12-23 12:17:33.334893
1.0	0.0	-0.0001930408	0.1	04-12-23 12:17:33.631780
1.0	0.0	-0.0001921678	0.1	04-12-23 12:17:33.847108
1.0	0.0	-0.0002031199	0.1	04-12-23 12:17:34.052724
1.0	0.0	-0.0001940725	0.1	04-12-23 12:17:34.257116
1.0	0.0	-0.0001834379	0.1	04-12-23 12:17:34.461555
1.0	0.0	-0.0001878029	0.1	04-12-23 12:17:34.666064
1.0	0.0	-0.0001824062	0.1	04-12-23 12:17:34.870698
1.0	0.0	-0.0001969296	0.1	04-12-23 12:17:35.075574
1.0	0.0	-0.000187406	0.1	04-12-23 12:17:35.283296
1.0	0.0	-0.0001847077	0.1	04-12-23 12:17:35.487238
1.0	0.0	-0.0001752635	0.1	04-12-23 12:17:35.697719
1.0	0.0	-0.0001941519	0.1	04-12-23 12:17:35.895529
1.0	0.0	-0.0002024851	0.1	04-12-23 12:17:36.033878
1.0	0.0	-0.0001940725	0.1	04-12-23 12:17:36.203998
1.0	0.0	-0.000188914	0.1	04-12-23 12:17:36.406497
1.0	0.0	-0.0001868505	0.1	04-12-23 12:17:36.611822
1.0	0.0	-0.0002039136	0.1	04-12-23 12:17:36.821765
1.0	0.0	-0.0001774063	0.1	04-12-23 12:17:37.021545
1.0	0.0	-0.0001805808	0.1	04-12-23 12:17:37.226301
1.0	0.0	-0.0001880409	0.1	04-12-23 12:17:37.431249
1.0	0.0	-0.0002018501	0.1	04-12-23 12:17:37.651180
1.0	0.0	-0.0001803428	0.1	04-12-23 12:17:37.840454
1.0	0.0	-0.0001835172	0.1	04-12-23 12:17:38.045921
1.0	0.0	-0.000175581	0.1	04-12-23 12:17:38.250839
1.0	0.0	-0.0001709779	0.1	04-12-23 12:17:38.459717
1.0	0.0	-0.000182803	0.1	04-12-23 12:17:38.660060
1.0	0.0	-0.0001689145	0.1	04-12-23 12:17:38.864698
1.0	0.0	-0.0001921678	0.1	04-12-23 12:17:39.171986
1.0	0.0	-0.0001630416	0.1	04-12-23 12:17:39.376529
1.0	0.0	-0.0001806602	0.1	04-12-23 12:17:39.551758
1.0	0.0	-0.000190025	0.1	04-12-23 12:17:39.691238
1.0	0.0	-0.0001778825	0.1	04-12-23 12:17:39.838244
1.0	0.0	-0.0001785967	0.1	04-12-23 12:17:39.992381
1.0	0.0	-0.0002099451	0.1	04-12-23 12:17:40.202634
1.0	0.0	-0.0002078817	0.1	04-12-23 12:17:40.403019
1.0	0.0	-0.0001747873	0.1	04-12-23 12:17:40.606935
1.0	0.0	-0.0001912949	0.1	04-12-23 12:17:40.811264
1.0	0.0	-0.0002000248	0.1	04-12-23 12:17:41.015057
1.0	0.0	-0.0001979614	0.1	04-12-23 12:17:41.219988
1.0	0.0	-0.0001765333	0.1	04-12-23 12:17:41.427770
1.0	0.0	-0.0001789142	0.1	04-12-23 12:17:41.629738
1.0	0.0	-0.0001885965	0.1	04-12-23 12:17:41.943358
1.0	0.0	-0.0001790729	0.1	04-12-23 12:17:42.141704
1.0	0.0	-0.0001793904	0.1	04-12-23 12:17:42.347697
1.0	0.0	-0.000183676	0.1	04-12-23 12:17:42.553033
1.0	0.0	-0.0001899457	0.1	04-12-23 12:17:42.756628
1.0	0.0	-0.000199866	0.1	04-12-23 12:17:42.961782
1.0	0.0	-0.0002005009	0.1	04-12-23 12:17:43.165263
1.0	0.0	-0.000201612	0.1	04-12-23 12:17:43.371003
1.0	0.0	-0.0001966122	0.1	04-12-23 12:17:43.575034
1.0	0.0	-0.0001835173	0.1	04-12-23 12:17:43.779923
1.0	0.0	-0.0001730413	0.1	04-12-23 12:17:43.983701
1.0	0.0	-0.0001904219	0.1	04-12-23 12:17:44.197565
1.0	0.0	-0.0001884378	0.1	04-12-23 12:17:44.395770
