# 
T	Delay	
50.6018381	0.1	06-03-24 14:32:22.307235
50.5343856	0.1	06-03-24 14:32:22.593584
50.5145504	0.1	06-03-24 14:32:22.800316
50.5082392	0.1	06-03-24 14:32:23.004998
50.5082392	0.1	06-03-24 14:32:23.228701
50.5073376	0.1	06-03-24 14:32:23.416075
50.5576596	0.1	06-03-24 14:32:23.640372
50.5396276	0.1	06-03-24 14:32:23.822874
50.4505366	0.1	06-03-24 14:32:24.031032
50.4234886	0.1	06-03-24 14:32:24.235682
50.4711059	0.1	06-03-24 14:32:24.519080
50.4584834	0.1	06-03-24 14:32:24.647344
50.4449594	0.1	06-03-24 14:32:24.850126
50.4386482	0.1	06-03-24 14:32:25.153431
50.4188129	0.1	06-03-24 14:32:25.277436
50.3971745	0.1	06-03-24 14:32:25.563938
50.3647168	0.1	06-03-24 14:32:25.743471
50.3448816	0.1	06-03-24 14:32:25.972719
50.2612002	0.1	06-03-24 14:32:26.177936
50.2431682	0.1	06-03-24 14:32:26.386365
50.2251361	0.1	06-03-24 14:32:26.657229
50.2034977	0.1	06-03-24 14:32:26.795745
50.1773512	0.1	06-03-24 14:32:27.000417
50.1503032	0.1	06-03-24 14:32:27.205017
50.1880028	0.1	06-03-24 14:32:27.410438
50.171774	0.1	06-03-24 14:32:27.614508
50.0944038	0.1	06-03-24 14:32:27.918976
50.1501355	0.1	06-03-24 14:32:28.042192
50.1447259	0.1	06-03-24 14:32:28.327147
50.1221859	0.1	06-03-24 14:32:28.536828
50.1140715	0.1	06-03-24 14:32:28.738023
50.0987442	0.1	06-03-24 14:32:28.960979
50.0762042	0.1	06-03-24 14:32:29.154892
50.0635817	0.1	06-03-24 14:32:29.348091
50.0563689	0.1	06-03-24 14:32:29.547459
49.9888355	0.1	06-03-24 14:32:29.745754
49.9842946	0.1	06-03-24 14:32:29.946515
50.0401401	0.1	06-03-24 14:32:30.169619
50.0257145	0.1	06-03-24 14:32:30.364630
50.0194032	0.1	06-03-24 14:32:30.557834
50.0112888	0.1	06-03-24 14:32:30.783061
50.004076	0.1	06-03-24 14:32:30.994274
50.004076	0.1	06-03-24 14:32:31.196605
49.9868503	0.1	06-03-24 14:32:31.401401
49.9632375	0.1	06-03-24 14:32:31.608646
49.9477984	0.1	06-03-24 14:32:31.813790
49.9423493	0.1	06-03-24 14:32:32.014029
49.8753126	0.1	06-03-24 14:32:32.220097
49.8598735	0.1	06-03-24 14:32:32.427356
49.906022	0.1	06-03-24 14:32:32.733254
49.8687865	0.1	06-03-24 14:32:32.939423
49.8560719	0.1	06-03-24 14:32:33.140163
49.8460819	0.1	06-03-24 14:32:33.364053
49.8388165	0.1	06-03-24 14:32:33.551842
49.8342755	0.1	06-03-24 14:32:33.775863
49.8279183	0.1	06-03-24 14:32:33.963127
49.8179282	0.1	06-03-24 14:32:34.187420
49.8124791	0.1	06-03-24 14:32:34.373472
49.8079382	0.1	06-03-24 14:32:34.586077
49.8015809	0.1	06-03-24 14:32:34.782894
49.7988564	0.1	06-03-24 14:32:35.005798
49.7906828	0.1	06-03-24 14:32:35.196461
49.7779682	0.1	06-03-24 14:32:35.397722
49.7652536	0.1	06-03-24 14:32:35.602169
49.8032285	0.1	06-03-24 14:32:35.807152
49.7896057	0.1	06-03-24 14:32:36.019889
49.6564405	0.1	06-03-24 14:32:36.217033
49.6473587	0.1	06-03-24 14:32:36.419091
49.6953235	0.1	06-03-24 14:32:36.626836
49.6871499	0.1	06-03-24 14:32:36.830767
49.6789762	0.1	06-03-24 14:32:37.036500
49.672619	0.1	06-03-24 14:32:37.234216
49.6644453	0.1	06-03-24 14:32:37.441347
49.6544553	0.1	06-03-24 14:32:37.650229
49.5411013	0.1	06-03-24 14:32:37.853704
49.5084067	0.1	06-03-24 14:32:38.057506
49.4956921	0.1	06-03-24 14:32:38.264688
49.4866103	0.1	06-03-24 14:32:38.469092
49.5391161	0.1	06-03-24 14:32:38.673846
49.5282179	0.1	06-03-24 14:32:38.876584
49.4530075	0.1	06-03-24 14:32:39.084508
49.4375684	0.1	06-03-24 14:32:39.288458
49.4846251	0.1	06-03-24 14:32:39.493851
49.4755432	0.1	06-03-24 14:32:39.697868
49.4664614	0.1	06-03-24 14:32:39.902526
49.4528387	0.1	06-03-24 14:32:40.108434
49.4328586	0.1	06-03-24 14:32:40.313007
49.414695	0.1	06-03-24 14:32:40.614504
49.3358519	0.1	06-03-24 14:32:40.821929
49.3258619	0.1	06-03-24 14:32:41.029111
49.3756431	0.1	06-03-24 14:32:41.234692
49.3429485	0.1	06-03-24 14:32:41.439270
49.3393158	0.1	06-03-24 14:32:41.644327
49.3329585	0.1	06-03-24 14:32:41.848882
49.3293258	0.1	06-03-24 14:32:42.072324
49.3320503	0.1	06-03-24 14:32:42.258242
49.3275094	0.1	06-03-24 14:32:42.464247
49.3238767	0.1	06-03-24 14:32:42.765900
49.3166112	0.1	06-03-24 14:32:42.973856
49.3038966	0.1	06-03-24 14:32:43.180856
49.3002639	0.1	06-03-24 14:32:43.384919
49.295723	0.1	06-03-24 14:32:43.589959
49.2386763	0.1	06-03-24 14:32:43.811894
49.2332272	0.1	06-03-24 14:32:44.001501
49.2839166	0.1	06-03-24 14:32:44.201145
49.2775593	0.1	06-03-24 14:32:44.408267
49.2739266	0.1	06-03-24 14:32:44.712145
49.2639366	0.1	06-03-24 14:32:44.835559
49.1832772	0.1	06-03-24 14:32:45.121379
49.2294256	0.1	06-03-24 14:32:45.330643
49.2103538	0.1	06-03-24 14:32:45.535037
49.196731	0.1	06-03-24 14:32:45.740117
49.1858328	0.1	06-03-24 14:32:45.963952
49.1740265	0.1	06-03-24 14:32:46.149925
49.1649446	0.1	06-03-24 14:32:46.352095
49.1585874	0.1	06-03-24 14:32:46.566559
49.1522301	0.1	06-03-24 14:32:46.761587
49.1440564	0.1	06-03-24 14:32:46.969111
49.1277091	0.1	06-03-24 14:32:47.174267
49.11227	0.1	06-03-24 14:32:47.379096
49.0868409	0.1	06-03-24 14:32:47.580913
49.0532381	0.1	06-03-24 14:32:47.788136
49.0332581	0.1	06-03-24 14:32:47.992629
49.0169108	0.1	06-03-24 14:32:48.197599
49.0032881	0.1	06-03-24 14:32:48.402316
48.9869408	0.1	06-03-24 14:32:48.607653
48.9778589	0.1	06-03-24 14:32:48.817000
48.9678689	0.1	06-03-24 14:32:49.014210
48.9515216	0.1	06-03-24 14:32:49.221577
48.9451643	0.1	06-03-24 14:32:49.423882
48.9351743	0.1	06-03-24 14:32:49.631402
48.9179189	0.1	06-03-24 14:32:49.836316
48.908837	0.1	06-03-24 14:32:50.059347
48.9006634	0.1	06-03-24 14:32:50.243501
48.888857	0.1	06-03-24 14:32:50.468024
48.8136467	0.1	06-03-24 14:32:50.655925
48.8045648	0.1	06-03-24 14:32:50.857034
48.8488969	0.1	06-03-24 14:32:51.067877
48.8298251	0.1	06-03-24 14:32:51.271880
48.7564311	0.1	06-03-24 14:32:51.474737
48.7482575	0.1	06-03-24 14:32:51.676524
48.8578099	0.1	06-03-24 14:32:51.884809
48.8460035	0.1	06-03-24 14:32:52.088643
48.711022	0.1	06-03-24 14:32:52.290919
48.701032	0.1	06-03-24 14:32:52.498051
48.6846847	0.1	06-03-24 14:32:52.801722
48.6756028	0.1	06-03-24 14:32:52.925657
48.7344659	0.1	06-03-24 14:32:53.211311
48.6574392	0.1	06-03-24 14:32:53.420513
48.6483573	0.1	06-03-24 14:32:53.623338
48.6981386	0.1	06-03-24 14:32:53.825226
48.6926895	0.1	06-03-24 14:32:54.034758
48.6292855	0.1	06-03-24 14:32:54.237015
48.6156628	0.1	06-03-24 14:32:54.443871
48.6563621	0.1	06-03-24 14:32:54.747158
48.6427394	0.1	06-03-24 14:32:54.868980
48.6300248	0.1	06-03-24 14:32:55.156936
48.6263921	0.1	06-03-24 14:32:55.366807
48.6164021	0.1	06-03-24 14:32:55.570403
48.5321099	0.1	06-03-24 14:32:55.778395
48.5166708	0.1	06-03-24 14:32:55.977155
48.5546456	0.1	06-03-24 14:32:56.185116
48.5382983	0.1	06-03-24 14:32:56.384372
48.5310329	0.1	06-03-24 14:32:56.608096
48.521951	0.1	06-03-24 14:32:56.800363
48.5146856	0.1	06-03-24 14:32:57.005404
48.5056038	0.1	06-03-24 14:32:57.209503
48.4901646	0.1	06-03-24 14:32:57.410613
48.4783583	0.1	06-03-24 14:32:57.613866
48.4611028	0.1	06-03-24 14:32:57.825626
48.4429391	0.1	06-03-24 14:32:58.024741
48.4338573	0.1	06-03-24 14:32:58.233115
48.4202345	0.1	06-03-24 14:32:58.433590
48.4111527	0.1	06-03-24 14:32:58.640575
48.4011627	0.1	06-03-24 14:32:58.847450
48.3911727	0.1	06-03-24 14:32:59.052427
48.3793663	0.1	06-03-24 14:32:59.256765
48.3739172	0.1	06-03-24 14:32:59.461483
48.373009	0.1	06-03-24 14:32:59.666037
48.3059723	0.1	06-03-24 14:32:59.871276
48.2923496	0.1	06-03-24 14:33:00.076089
48.2741859	0.1	06-03-24 14:33:00.279219
48.2514814	0.1	06-03-24 14:33:00.485869
48.2958135	0.1	06-03-24 14:33:00.690632
48.2876398	0.1	06-03-24 14:33:00.895423
48.2812825	0.1	06-03-24 14:33:01.118684
48.268568	0.1	06-03-24 14:33:01.304843
48.2603943	0.1	06-03-24 14:33:01.511421
48.2513125	0.1	06-03-24 14:33:01.712645
48.2404143	0.1	06-03-24 14:33:01.919143
48.224067	0.1	06-03-24 14:33:02.120946
48.2792973	0.1	06-03-24 14:33:02.328725
48.2765728	0.1	06-03-24 14:33:02.631659
48.1361421	0.1	06-03-24 14:33:02.839175
48.1243357	0.1	06-03-24 14:33:02.965283
48.1777497	0.1	06-03-24 14:33:03.246172
48.169576	0.1	06-03-24 14:33:03.456153
48.159586	0.1	06-03-24 14:33:03.657316
48.1486878	0.1	06-03-24 14:33:03.865704
48.1314323	0.1	06-03-24 14:33:04.167861
48.1223505	0.1	06-03-24 14:33:04.377303
48.1123605	0.1	06-03-24 14:33:04.581581
48.1023705	0.1	06-03-24 14:33:04.786347
48.095105	0.1	06-03-24 14:33:04.987252
48.0869314	0.1	06-03-24 14:33:05.196715
48.0823905	0.1	06-03-24 14:33:05.406236
48.0796659	0.1	06-03-24 14:33:05.605646
48.075125	0.1	06-03-24 14:33:05.807819
48.0071801	0.1	06-03-24 14:33:06.032139
48.0080883	0.1	06-03-24 14:33:06.217677
48.0569613	0.1	06-03-24 14:33:06.425314
48.0442468	0.1	06-03-24 14:33:06.626533
48.0397059	0.1	06-03-24 14:33:06.833882
48.0278995	0.1	06-03-24 14:33:07.035073
48.0224504	0.1	06-03-24 14:33:07.242804
48.0115522	0.1	06-03-24 14:33:07.449073
48.0622416	0.1	06-03-24 14:33:07.654778
48.0522516	0.1	06-03-24 14:33:07.868174
47.9824903	0.1	06-03-24 14:33:08.066608
47.9824903	0.1	06-03-24 14:33:08.267998
47.976133	0.1	06-03-24 14:33:08.573550
47.9706839	0.1	06-03-24 14:33:08.780336
47.9625103	0.1	06-03-24 14:33:08.984416
47.9552448	0.1	06-03-24 14:33:09.206498
47.9497957	0.1	06-03-24 14:33:09.395053
47.9388975	0.1	06-03-24 14:33:09.599183
47.9216421	0.1	06-03-24 14:33:09.801550
47.8500645	0.1	06-03-24 14:33:10.020306
47.8418908	0.1	06-03-24 14:33:10.213677
47.8400744	0.1	06-03-24 14:33:10.415544
47.8373499	0.1	06-03-24 14:33:10.721551
47.8871311	0.1	06-03-24 14:33:10.930756
47.8844066	0.1	06-03-24 14:33:11.133807
47.8200944	0.1	06-03-24 14:33:11.339917
47.8119208	0.1	06-03-24 14:33:11.544862
47.8119208	0.1	06-03-24 14:33:11.847845
47.8744165	0.1	06-03-24 14:33:12.057235
47.8662429	0.1	06-03-24 14:33:12.259323
47.871692	0.1	06-03-24 14:33:12.466435
47.8689674	0.1	06-03-24 14:33:12.670837
47.8635183	0.1	06-03-24 14:33:12.876237
47.861702	0.1	06-03-24 14:33:13.076988
47.8580692	0.1	06-03-24 14:33:13.284077
47.8498956	0.1	06-03-24 14:33:13.488226
47.8508038	0.1	06-03-24 14:33:13.694963
47.8508038	0.1	06-03-24 14:33:13.899865
47.9087586	0.1	06-03-24 14:33:14.105535
47.9024014	0.1	06-03-24 14:33:14.305293
47.7828589	0.1	06-03-24 14:33:14.511899
47.7855835	0.1	06-03-24 14:33:14.718994
47.7728689	0.1	06-03-24 14:33:14.923614
47.7628789	0.1	06-03-24 14:33:15.126037
47.8787886	0.1	06-03-24 14:33:15.339126
47.8733395	0.1	06-03-24 14:33:15.637289
47.866074	0.1	06-03-24 14:33:15.846236
47.8597168	0.1	06-03-24 14:33:16.050348
