# 
ch1_10V	ch2_1V	time	Delay	a	
1634.933	1702.267	1718887715.0664136	0.2	0	20-06-24 14:48:35.066431
1624.8	1698.0	1718887715.3058126	0.2	0	20-06-24 14:48:35.305832
1627.867	1705.667	1718887715.544191	0.2	0	20-06-24 14:48:35.544209
1628.133	1703.8	1718887715.7838597	0.2	0	20-06-24 14:48:35.783880
1630.667	1700.467	1718887716.0242386	0.2	0	20-06-24 14:48:36.024269
1623.333	1701.0	1718887716.2647552	0.2	0	20-06-24 14:48:36.264779
1626.6	1692.0	1718887716.5049777	0.2	0	20-06-24 14:48:36.505029
1616.067	1700.733	1718887716.7447572	0.2	0	20-06-24 14:48:36.744774
1630.133	1701.733	1718887716.985082	0.2	0	20-06-24 14:48:36.985101
1628.467	1700.267	1718887717.224914	0.2	0	20-06-24 14:48:37.224952
1620.8	1702.8	1718887717.46603	0.2	0	20-06-24 14:48:37.466048
1628.4	1703.8	1718887717.7050261	0.2	0	20-06-24 14:48:37.705041
1634.0	1698.8	1718887717.9437351	0.2	0	20-06-24 14:48:37.943760
1623.733	1696.467	1718887718.1827981	0.2	0	20-06-24 14:48:38.182816
1623.6	1698.267	1718887718.4230652	0.2	0	20-06-24 14:48:38.423088
1627.6	1698.133	1718887718.660963	0.2	0	20-06-24 14:48:38.660977
1629.133	1814.533	1718887718.9064286	0.2	0	20-06-24 14:48:38.906461
1622.733	1691.8	1718887719.1451855	0.2	0	20-06-24 14:48:39.145208
1630.333	1697.267	1718887719.3848424	0.2	0	20-06-24 14:48:39.384862
1631.2	1695.533	1718887719.624852	0.2	0	20-06-24 14:48:39.624887
1620.333	1696.733	1718887719.863117	0.2	0	20-06-24 14:48:39.863132
1622.933	1697.4	1718887720.1024814	0.2	0	20-06-24 14:48:40.102501
1623.6	1696.6	1718887720.342454	0.2	0	20-06-24 14:48:40.342476
1622.6	1692.267	1718887720.5802913	0.2	0	20-06-24 14:48:40.580308
1631.467	1693.933	1718887720.8200445	0.2	0	20-06-24 14:48:40.820065
1626.667	1692.0	1718887721.0555713	0.2	0	20-06-24 14:48:41.055597
1630.0	1697.667	1718887721.295543	0.2	0	20-06-24 14:48:41.295576
1621.533	1693.733	1718887721.5356033	0.2	0	20-06-24 14:48:41.535623
1627.467	1697.4	1718887721.77526	0.2	0	20-06-24 14:48:41.775302
1614.2	1699.0	1718887722.015032	0.2	0	20-06-24 14:48:42.015051
1627.533	1698.4	1718887722.2540839	0.2	0	20-06-24 14:48:42.254105
1631.667	1702.8	1718887722.4931135	0.2	0	20-06-24 14:48:42.493132
1627.6	1702.533	1718887722.7322063	0.2	0	20-06-24 14:48:42.732231
1625.2	1702.467	1718887722.9718173	0.2	0	20-06-24 14:48:42.971839
1622.933	1704.733	1718887723.21164	0.2	0	20-06-24 14:48:43.211674
1621.667	1704.333	1718887723.4517982	0.2	0	20-06-24 14:48:43.451817
1625.467	1703.0	1718887723.6918473	0.2	0	20-06-24 14:48:43.691880
1631.267	1703.333	1718887723.9316998	0.2	0	20-06-24 14:48:43.931724
1629.733	1704.867	1718887724.1702037	0.2	0	20-06-24 14:48:44.170221
1627.067	1705.2	1718887724.4089832	0.2	0	20-06-24 14:48:44.409001
1625.2	1704.467	1718887724.645334	0.2	0	20-06-24 14:48:44.645348
1625.733	1700.0	1718887724.884648	0.2	0	20-06-24 14:48:44.884686
1625.867	1698.267	1718887725.1250262	0.2	0	20-06-24 14:48:45.125044
1631.067	1699.8	1718887725.36307	0.2	0	20-06-24 14:48:45.363086
1624.067	1701.0	1718887725.5979047	0.2	0	20-06-24 14:48:45.597946
1628.8	1699.733	1718887725.8381371	0.2	0	20-06-24 14:48:45.838176
1626.067	1702.6	1718887726.0771317	0.2	0	20-06-24 14:48:46.077151
1629.8	1700.933	1718887726.3166718	0.2	0	20-06-24 14:48:46.316713
1620.867	1695.267	1718887726.5560865	0.2	0	20-06-24 14:48:46.556105
1624.933	1699.4	1718887726.7963345	0.2	0	20-06-24 14:48:46.796354
1631.2	1692.667	1718887727.036303	0.2	0	20-06-24 14:48:47.036322
1629.533	1697.867	1718887727.2750425	0.2	0	20-06-24 14:48:47.275060
1615.467	1705.0	1718887727.5146766	0.2	0	20-06-24 14:48:47.514697
1619.867	1699.4	1718887727.7548902	0.2	0	20-06-24 14:48:47.754922
1628.4	1701.533	1718887727.9948335	0.2	0	20-06-24 14:48:47.994852
1629.0	1700.2	1718887728.2350056	0.2	0	20-06-24 14:48:48.235028
1626.933	1700.2	1718887728.4728346	0.2	0	20-06-24 14:48:48.472852
1622.6	1695.6	1718887728.712436	0.2	0	20-06-24 14:48:48.712454
1620.133	1696.267	1718887728.9525995	0.2	0	20-06-24 14:48:48.952622
1622.2	1706.0	1718887729.1902006	0.2	0	20-06-24 14:48:49.190224
1619.0	1696.6	1718887729.4292934	0.2	0	20-06-24 14:48:49.429319
1628.8	1706.267	1718887729.66759	0.2	0	20-06-24 14:48:49.667605
1629.467	1700.4	1718887729.9062858	0.2	0	20-06-24 14:48:49.906305
1624.733	1709.733	1718887730.1422553	0.2	0	20-06-24 14:48:50.142274
1619.467	1698.733	1718887730.3821132	0.2	0	20-06-24 14:48:50.382142
1629.467	1696.667	1718887730.6201823	0.2	0	20-06-24 14:48:50.620196
1628.467	1698.067	1718887730.8594143	0.2	0	20-06-24 14:48:50.859439
1628.667	1811.333	1718887731.0996242	0.2	0	20-06-24 14:48:51.099666
1627.667	1700.8	1718887731.3388402	0.2	0	20-06-24 14:48:51.338863
1626.4	1695.867	1718887731.5785239	0.2	0	20-06-24 14:48:51.578548
