# 
focus_V	E+P_V	anode_v	focus_I	E+P_I	anode_I	time	Delay	
0	0	0.0168658772	9.11474482e-11	5.46831468e-10	6.448297819999974e-07	1713172559.125126	0.1	15-04-24 11:15:59.125172
0	0	-0.00276122286	8.54187965e-11	4.5351566000000006e-10	6.500025980000034e-07	1713172559.899593	0.1	15-04-24 11:15:59.899641
0	0	-0.0029477922599999997	1.0605089400000001e-10	3.75130382e-10	6.494360540000032e-07	1713172560.6805396	0.1	15-04-24 11:16:00.680593
0	0	-0.00160449264	7.530388859999999e-11	2.59418781e-10	6.493621340000061e-07	1713172561.4593816	0.1	15-04-24 11:16:01.459433
0	0	-0.00246271184	1.13435218e-10	4.75911454e-10	6.535004000000029e-07	1713172562.2453706	0.1	15-04-24 11:16:02.245417
0	0	-0.0443661972	1.01664632e-10	4.87109351e-10	6.558897320000029e-07	1713172563.021644	0.1	15-04-24 11:16:03.021691
0	0	-0.00962697648	8.13010695e-11	3.9006091099999996e-10	6.589195280000003e-07	1713172563.7961707	0.1	15-04-24 11:16:03.796222
0	0	0.00615679406	7.61094801e-11	4.64713557e-10	6.576879020000017e-07	1713172564.5764813	0.1	15-04-24 11:16:04.576531
0	0	0.030858581500000003	1.3138183e-10	3.6766511799999997e-10	6.588456080000032e-07	1713172565.3568592	0.1	15-04-24 11:16:05.356914
0	0	-0.00268659511	7.76757403e-11	4.08724073e-10	6.563331200000041e-07	1713172566.1366148	0.1	15-04-24 11:16:06.136661
0	0	-0.0149255472	1.49865676e-10	4.08724073e-10	6.60693014000004e-07	1713172566.9133372	0.1	15-04-24 11:16:06.913386
0	0	-0.0220151841	1.28338485e-10	3.8632827900000005e-10	6.58377602000001e-07	1713172567.6877863	0.1	15-04-24 11:16:07.687842
0	0	-0.0105598234	1.26190241e-10	6.774735980000001e-10	6.625651039999999e-07	1713172568.4704368	0.1	15-04-24 11:16:08.470484
0	0	-0.019030073800000002	2.55360782e-11	3.1540826499999997e-10	6.653485880000058e-07	1713172569.2453985	0.1	15-04-24 11:16:09.245454
0	0	0.0107090872	5.2254751299999994e-11	3.2287353e-10	6.709401079999975e-07	1713172570.0251613	0.1	15-04-24 11:16:10.025210
0	0	-0.00018656525800000003	6.56812724e-11	4.4605039599999997e-10	6.67787156000001e-07	1713172570.8027306	0.1	15-04-24 11:16:10.802779
0	0	0.0179479796	7.71833255e-11	4.75911454e-10	6.69831637999998e-07	1713172571.5816257	0.1	15-04-24 11:16:11.581674
0	0	-0.0462318912	1.51566253e-10	5.31900939e-10	6.708169520000052e-07	1713172572.3615756	0.1	15-04-24 11:16:12.361624
0	0	-0.00944040709	9.66070261e-11	4.90841983e-10	6.720239600000027e-07	1713172573.137072	0.1	15-04-24 11:16:13.137118
0	0	-0.028358543400000002	5.81178595e-11	3.8259564700000003e-10	6.724427299999961e-07	1713172573.9122922	0.1	15-04-24 11:16:13.912342
0	0	0.021716681300000002	6.50548966e-11	3.00477736e-10	6.737482099999976e-07	1713172574.688176	0.1	15-04-24 11:16:14.688224
0	0	0.0167912494	9.7905124e-11	4.3485249900000003e-10	6.77369168000003e-07	1713172575.4650373	0.1	15-04-24 11:16:15.465085
0	0	-0.0065672384599999994	1.29636474e-10	3.45269324e-10	6.787485680000016e-07	1713172576.240125	0.1	15-04-24 11:16:16.240174
0	0	-0.007500085419999999	1.7591322499999998e-10	6.02820952e-10	6.746842220000019e-07	1713172577.0193684	0.1	15-04-24 11:16:17.019418
0	0	-0.00884338504	1.60830764e-10	4.08724073e-10	6.780588680000023e-07	1713172577.7962828	0.1	15-04-24 11:16:17.796334
0	0	-0.0181345407	1.25876999e-10	4.08724073e-10	6.816059720000047e-07	1713172578.574162	0.1	15-04-24 11:16:18.574232
0	0	-0.0180972269	2.0885291000000002e-10	4.49783028e-10	6.828375980000032e-07	1713172579.3535128	0.1	15-04-24 11:16:19.353565
