# 
ch1a_avglen	ch1_10V	ch2_1V	time	Delay	a	
250	1625.776	1652.748	1717767790.1850967	0.25	6581.000000000001	07-06-24 15:43:10.185121
250	1627.044	1651.976	1717767790.4732656	0.25	6582.0	07-06-24 15:43:10.473284
250	1627.236	1651.808	1717767790.760907	0.25	6583.0	07-06-24 15:43:10.760944
250	1628.112	1653.26	1717767791.0507522	0.25	6584.0	07-06-24 15:43:11.050787
250	1627.324	1653.044	1717767791.3394687	0.25	6585.0	07-06-24 15:43:11.339496
250	1627.592	1652.888	1717767791.6238942	0.25	6586.000000000001	07-06-24 15:43:11.623920
250	1627.58	1650.232	1717767791.9134257	0.25	6587.0	07-06-24 15:43:11.913446
250	1626.604	1649.024	1717767792.1996052	0.25	6588.0	07-06-24 15:43:12.199627
250	1625.704	1649.068	1717767792.4889789	0.25	6589.0	07-06-24 15:43:12.488999
250	1625.584	1649.62	1717767792.7786407	0.25	6590.0	07-06-24 15:43:12.778666
250	1626.56	1649.832	1717767793.0681298	0.25	6591.000000000001	07-06-24 15:43:13.068157
250	1626.804	1647.548	1717767793.357773	0.25	6592.0	07-06-24 15:43:13.357798
250	1626.88	1648.024	1717767793.6466393	0.25	6593.0	07-06-24 15:43:13.646665
250	1626.996	1649.336	1717767793.936409	0.25	6594.0	07-06-24 15:43:13.936428
250	1626.564	1653.984	1717767794.225934	0.25	6595.0	07-06-24 15:43:14.225976
250	1625.496	1656.68	1717767794.5159624	0.25	6596.000000000001	07-06-24 15:43:14.516002
250	1624.256	1654.192	1717767794.804788	0.25	6597.0	07-06-24 15:43:14.804807
250	1624.872	1652.44	1717767795.094256	0.25	6598.0	07-06-24 15:43:15.094276
250	1624.132	1652.348	1717767795.3829262	0.25	6599.0	07-06-24 15:43:15.382945
250	1624.916	1652.132	1717767795.6720815	0.25	6600.0	07-06-24 15:43:15.672120
250	1624.92	1651.872	1717767795.9615803	0.25	6601.000000000001	07-06-24 15:43:15.961628
250	1625.804	1649.328	1717767796.2502303	0.25	6602.0	07-06-24 15:43:16.250270
250	1626.516	1646.924	1717767796.539989	0.25	6603.0	07-06-24 15:43:16.540036
250	1624.812	1649.012	1717767796.8299665	0.25	6604.0	07-06-24 15:43:16.829989
250	1625.048	1650.828	1717767797.1190078	0.25	6605.0	07-06-24 15:43:17.119028
250	1624.324	1654.112	1717767797.4086144	0.25	6606.000000000001	07-06-24 15:43:17.408633
250	1625.088	1655.784	1717767797.696543	0.25	6607.0	07-06-24 15:43:17.696571
250	1625.056	1655.168	1717767797.9857206	0.25	6608.0	07-06-24 15:43:17.985747
250	1625.236	1655.704	1717767798.2738326	0.25	6609.0	07-06-24 15:43:18.273859
250	1624.072	1657.808	1717767798.561286	0.25	6610.0	07-06-24 15:43:18.561305
250	1624.188	1658.46	1717767798.8512847	0.25	6611.000000000001	07-06-24 15:43:18.851309
250	1623.492	1660.008	1717767799.1405668	0.25	6612.0	07-06-24 15:43:19.140600
250	1626.02	1657.5	1717767799.429729	0.25	6613.0	07-06-24 15:43:19.429747
250	1625.668	1655.24	1717767799.7200115	0.25	6614.0	07-06-24 15:43:19.720033
250	1625.864	1651.424	1717767800.0094674	0.25	6615.0	07-06-24 15:43:20.009497
250	1624.744	1650.748	1717767800.298547	0.25	6616.000000000001	07-06-24 15:43:20.298577
250	1623.524	1650.732	1717767800.5885432	0.25	6617.0	07-06-24 15:43:20.588595
250	1624.36	1651.592	1717767800.874305	0.25	6618.0	07-06-24 15:43:20.874327
250	1624.276	1653.7	1717767801.1639185	0.25	6619.0	07-06-24 15:43:21.163942
250	1626.0	1653.168	1717767801.453267	0.25	6620.0	07-06-24 15:43:21.453317
250	1627.536	1651.752	1717767801.7431967	0.25	6621.000000000001	07-06-24 15:43:21.743220
250	1627.488	1651.136	1717767802.0316913	0.25	6622.0	07-06-24 15:43:22.031709
250	1627.812	1649.312	1717767802.3203595	0.25	6623.0	07-06-24 15:43:22.320389
250	1626.824	1648.276	1717767802.6072192	0.25	6624.0	07-06-24 15:43:22.607237
250	1625.468	1648.288	1717767802.8961825	0.25	6625.0	07-06-24 15:43:22.896202
250	1625.336	1647.636	1717767803.1850474	0.25	6626.000000000001	07-06-24 15:43:23.185069
250	1624.124	1648.2	1717767803.4727697	0.25	6627.0	07-06-24 15:43:23.472786
250	1625.056	1647.82	1717767803.7596953	0.25	6628.0	07-06-24 15:43:23.759730
250	1625.32	1646.444	1717767804.0481315	0.25	6629.0	07-06-24 15:43:24.048148
250	1625.968	1645.172	1717767804.3356686	0.25	6630.0	07-06-24 15:43:24.335701
250	1625.976	1645.644	1717767804.6251676	0.25	6631.000000000001	07-06-24 15:43:24.625204
250	1625.6	1646.656	1717767804.9156058	0.25	6632.0	07-06-24 15:43:24.915644
250	1624.344	1647.844	1717767805.204303	0.25	6633.0	07-06-24 15:43:25.204322
250	1625.504	1648.884	1717767805.4937143	0.25	6634.0	07-06-24 15:43:25.493734
250	1625.736	1649.496	1717767805.782511	0.25	6635.0	07-06-24 15:43:25.782549
