# 
focus_V	pump_V	extractor_V	focus_I	pump_I	extractor_I	anode_I	time	Delay	
0	0	0	4.962749959999999e-10	3.14231667e-10	2.03429297e-10	0.134240303	1713169674.7886403	0.1	15-04-24 10:27:54.788693
0	0	0	4.10453075e-10	1.8494032800000002e-10	4.12456705e-10	0.134226084	1713169675.5666173	0.1	15-04-24 10:27:55.566666
0	0	0	4.77618056e-10	1.85656295e-10	4.1992197e-10	0.134219814	1713169676.3439114	0.1	15-04-24 10:27:56.343965
0	0	0	4.58961117e-10	3.13157507e-10	2.10894561e-10	0.13421373	1713169677.1251087	0.1	15-04-24 10:27:57.125157
0	0	0	5.2239471e-10	3.60864173e-10	5.54296732e-10	0.133224814	1713169677.9141989	0.1	15-04-24 10:27:57.914252
0	0	0	4.73886668e-10	3.0836893900000003e-10	3.00477736e-10	0.133209288	1713169678.6936812	0.1	15-04-24 10:27:58.693770
0	0	0	5.18663323e-10	2.86708501e-10	3.41536691e-10	0.133197047	1713169679.4692857	0.1	15-04-24 10:27:59.469334
0	0	0	4.70155281e-10	2.55739446e-10	3.07943001e-10	0.133214924	1713169680.246913	0.1	15-04-24 10:28:00.246965
0	0	0	4.6269250499999997e-10	2.46878634e-10	2.85547207e-10	0.133282887	1713169681.0209923	0.1	15-04-24 10:28:01.021044
0	0	0	4.55229729e-10	2.80443369e-10	3.19140898e-10	0.133277624	1713169681.7999218	0.1	15-04-24 10:28:01.799968
0	0	0	3.99258912e-10	2.69523642e-10	4.98307248e-10	0.13326277	1713169682.5813713	0.1	15-04-24 10:28:02.581415
0	0	0	4.21647239e-10	2.62810695e-10	1.81033503e-10	0.133252656	1713169683.3688204	0.1	15-04-24 10:28:03.368879
0	0	0	4.58961117e-10	2.25173439e-10	5.13237777e-10	0.133236832	1713169684.1490242	0.1	15-04-24 10:28:04.149077
0	0	0	4.4776695400000003e-10	2.41150147e-10	1.3997454699999998e-10	0.133236197	1713169684.9284656	0.1	15-04-24 10:28:04.928519
0	0	0	4.4403556600000004e-10	2.45625444e-10	4.3858513100000005e-10	0.133234294	1713169685.7022367	0.1	15-04-24 10:28:05.702290
0	0	0	4.6269250499999997e-10	2.36048307e-10	1.21311386e-10	0.133251574	1713169686.4875753	0.1	15-04-24 10:28:06.487830
0	0	0	4.58961117e-10	2.63616141e-10	3.11675633e-10	0.133277288	1713169687.2614474	0.1	15-04-24 10:28:07.261493
0	0	0	4.66423893e-10	2.69210263e-10	3.9006091099999996e-10	0.133265756	1713169688.0369594	0.1	15-04-24 10:28:08.037008
0	0	0	4.55229729e-10	2.66793602e-10	2.85547207e-10	0.133265308	1713169688.8118105	0.1	15-04-24 10:28:08.811855
0	0	0	4.70155281e-10	2.25576312e-10	3.45269324e-10	0.133284678	1713169689.589185	0.1	15-04-24 10:28:09.589233
0	0	0	4.70155281e-10	2.51398783e-10	3.9006091099999996e-10	0.133305019	1713169690.3691294	0.1	15-04-24 10:28:10.369179
0	0	0	4.58961117e-10	4.69927598e-10	5.91623055e-10	0.133306474	1713169691.1481872	0.1	15-04-24 10:28:11.148341
0	0	0	5.63439977e-10	2.4701299e-10	2.3702298699999997e-10	0.133295837	1713169691.927131	0.1	15-04-24 10:28:11.927179
0	0	0	4.92543608e-10	6.98123058e-10	5.09505145e-10	0.133278744	1713169692.701561	0.1	15-04-24 10:28:12.701608
