# 
Amax	Delay	
127	0.1	21-03-24 17:24:50.530647
127	0.1	21-03-24 17:24:50.880498
127	0.1	21-03-24 17:24:51.229561
127	0.1	21-03-24 17:24:51.579292
127	0.1	21-03-24 17:24:51.928429
127	0.1	21-03-24 17:24:52.278117
127	0.1	21-03-24 17:24:52.627529
127	0.1	21-03-24 17:24:52.978081
127	0.1	21-03-24 17:24:53.326413
127	0.1	21-03-24 17:24:53.675625
127	0.1	21-03-24 17:24:54.025060
127	0.1	21-03-24 17:24:54.374743
127	0.1	21-03-24 17:24:54.724673
127	0.1	21-03-24 17:24:55.074089
127	0.1	21-03-24 17:24:55.423312
127	0.1	21-03-24 17:24:55.773305
127	0.1	21-03-24 17:24:56.122200
127	0.1	21-03-24 17:24:56.471444
127	0.1	21-03-24 17:24:56.821093
127	0.1	21-03-24 17:24:57.170397
127	0.1	21-03-24 17:24:57.519632
127	0.1	21-03-24 17:24:57.869062
127	0.1	21-03-24 17:24:58.218335
127	0.1	21-03-24 17:24:58.567930
127	0.1	21-03-24 17:24:58.917592
127	0.1	21-03-24 17:24:59.267239
127	0.1	21-03-24 17:24:59.616674
127	0.1	21-03-24 17:24:59.966231
127	0.1	21-03-24 17:25:00.315678
127	0.1	21-03-24 17:25:00.667050
127	0.1	21-03-24 17:25:01.014580
127	0.1	21-03-24 17:25:01.363741
127	0.1	21-03-24 17:25:01.713499
127	0.1	21-03-24 17:25:02.063291
127	0.1	21-03-24 17:25:02.412686
127	0.1	21-03-24 17:25:02.762088
127	0.1	21-03-24 17:25:03.111008
127	0.1	21-03-24 17:25:03.460497
127	0.1	21-03-24 17:25:03.810168
127	0.1	21-03-24 17:25:04.159449
127	0.1	21-03-24 17:25:04.508732
127	0.1	21-03-24 17:25:04.858505
127	0.1	21-03-24 17:25:05.207895
