# 
A2	f2	Scope_Frequency	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Delay	a	
1	5858656.565656566	5858656.565656566	10.683769086679087	20.57448985680174	79.20623893875587	0.0013828210600267284	0.003911208594849879	0.0	0.5	5858656.565656566	20-05-24 15:05:13.066586
1	6060675.757575758	6060675.757575758	10.693319985925612	20.58225125612395	82.27697126342659	0.0013745283202573658	0.003887753184747752	0.0	0.5	6060675.757575758	20-05-24 15:05:15.833796
1	6262694.94949495	6262694.94949495	10.753050938873582	20.630634062575126	85.00982306138653	0.0013646739863217112	0.003859880919347839	0.0	0.5	6262694.94949495	20-05-24 15:05:18.494312
1	6464714.141414142	6464714.141414142	10.82365506568349	20.687478869394326	88.20538769629279	0.0013511804305733168	0.003821715380259806	0.0	0.5	6464714.141414142	20-05-24 15:05:21.156461
1	6666733.333333333	6666733.333333333	10.646638358594878	20.544250046999085	91.0649112594413	0.0013507070438205512	0.003820376440327788	0.0	0.5	6666733.333333333	20-05-24 15:05:23.819916
1	6868752.525252525	6868752.525252525	10.853606865232484	20.71148173393805	93.51954653651048	0.001330438665726239	0.003763048809951224	0.0	0.5	6868752.525252525	20-05-24 15:05:26.584279
1	7070771.717171717	7070771.717171717	10.786686061600058	20.657760782035012	97.0536693443721	0.0013327519417545705	0.0037695917426167815	0.0	0.5	7070771.717171717	20-05-24 15:05:29.246888
1	7272790.909090909	7272790.909090909	10.902365598167568	20.750414829938006	100.63513851696146	0.0013200400997560352	0.0037336372239026366	0.0	0.5	7272790.909090909	20-05-24 15:05:31.904773
1	7474810.101010102	7474810.101010102	10.89249364373568	20.742546303546558	104.34729751451681	0.0013215687517653322	0.0037379609047100302	0.0	0.5	7474810.101010102	20-05-24 15:05:34.570407
1	7676829.292929293	7676829.292929293	10.89475885537465	20.744352440265693	107.86462274965105	0.0013188908070175642	0.0037303865331468717	0.0	0.5	7676829.292929293	20-05-24 15:05:37.233983
1	7878848.484848484	7878848.484848484	10.953726094935544	20.791237538235965	111.30714157284916	0.0013053708664391302	0.003692146366489872	0.0	0.5	7878848.484848484	20-05-24 15:05:39.998049
1	8080867.676767677	8080867.676767677	11.008947348757674	20.834915893546647	115.00404534654308	0.0012948392686952654	0.003662358509764209	0.0	0.5	8080867.676767677	20-05-24 15:05:42.763708
1	8282886.868686869	8282886.868686869	10.993922356873462	20.823053309860953	119.66078169337018	0.0012900934285252912	0.003648935246697744	0.0	0.5	8282886.868686869	20-05-24 15:05:45.425503
1	8484906.06060606	8484906.06060606	11.005065074351451	20.8318522987109	122.03923355461224	0.0012689707694074496	0.0035891913447020736	0.0	0.5	8484906.06060606	20-05-24 15:05:48.091084
